ID,Mien,Part of Speech,English,French,Thai,Lao,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example (Mien),Example (English),Example (French),Example (Thai),Example (Lao),Example (Vietnamese),Example (Chinese),Variant,Synonym,Usage,Origin,AudioOriginal,AudioAI,AudioExample
85,a'cingx,adverb,a while ago,il y a quelque temps,สักพักก่อนหน้านี้,ດົນນານມາແລ້ວ,một lúc trước,不久前,bù jiǔ qián,bat1 gau2 cin4,,,,,,,,,,,,,,,,,,Original/a_cingx.mp3,AI/a_cingx_AI.mp3,
86,a'cingx jang,adverb,awhile,un moment,สักพักหนึ่ง,ຊ່ວງເວລາໜຶ່ງ,một lúc,一会儿,yíhuìr,jat1 wui6 ji4,,,,,,,,,,,,,,,,,,Original/a_cingx_jang.mp3,AI/a_cingx_jang_AI.mp3,
113,a'haenv,onomatopoeia,ahem,hum,เอ่อ...,ອືມ,ờ,呃,è,aak1,,,,,,,,,,,,,,,,,,Original/a_haenv.mp3,AI/a_haenv_AI.mp3,
114,a'hmuangx,noun,last night,la nuit dernière,เมื่อคืน,ຄືນທີ່ຜ່ານມາ,đêm qua,昨晚,zuówǎn,zok6 maan5,,,,,,,,,,,,,,,,,,Original/a_hmuangx.mp3,AI/a_hmuangx_AI.mp3,
115,a'hneiv,adjective,grateful,reconnaissant,ปลื้มปีติ,ກະຕັນຍູ,biết ơn,感激,gǎn jī,gam2 gik1,,,,,,,,,,,,,,,,,,Original/a_hneiv.mp3,AI/a_hneiv_AI.mp3,
116,a'hneiv,adjective,appreciative,reconnaissant,ขอบคุณ,ຊື່ນຊົມ,biết ơn,感激的,gǎnjī dik1,gam2 gik1 dik1,,,,,,,,,,,,,,,,,,Original/a_hneiv.mp3,AI/a_hneiv_AI.mp3,
117,a'hneiv,adjective,glad,content,ยินดี,ດີໃຈ,vui mừng,高心,gāo xìng,gou1 hing3,,,,,,,,,,,,,,,,,,Original/a_hneiv.mp3,AI/a_hneiv_AI.mp3,
118,a'hneiv,adjective,happy,heureux,มีความสุข,ມີຄວາມສຸກ,vui,高兴,gāo xìng,gou1 hing3,,,,,,,,,,,,,,,,,,Original/a_hneiv.mp3,AI/a_hneiv_AI.mp3,
119,a'hnoi,noun,yesterday,hier,เมื่อวาน,ມື້ວານນີ້,vâng,是,shì,si6,,,,,,,,,,,,,,,,,,Original/a_hnoi.mp3,AI/a_hnoi_AI.mp3,
120,a'hnoi ndorm,noun,yesterday morning,hier matin,เมื่อเช้าวานนี้,ເຊົ້າມື້ວານນີ້,chiều hôm qua,昨天下午,zuótiān xiàwǔ,zok6 tin1 haa6 ng5,,,,,,,,,,,,,,,,,,Original/a_hnoi_ndorm.mp3,AI/a_hnoi_ndorm_AI.mp3,
126,a'jang,adverb,moment ago,il y a un instant,เมื่อสักครู่ที่ผ่านมา,ຊ່ວງເວລາກ່ອນໜ້ານີ້,vừa mới,刚才,gāngcái,gong1 coi4,,,,,,,,,,,,,,,,,,Original/a_jang.mp3,AI/a_jang_AI.mp3,
127,a'lanh,verb,to stutter,bégayer,พูดติดอ่าง,ເວົ້າຕິດຂັດ,nói lắp,口吃,kǒuchī,hau2 sik1,,,,,,,,,,,,,,,,,,Original/a_lanh.mp3,AI/a_lanh_AI.mp3,
128,a'mangc,adjective,unattractive,peu attrayant,ไม่น่าดึงดูด,ບໍ່ໜ້າສົນໃຈ,không hấp dẫn,不吸引人,bù xīyǐn rén,bat1 kap1 jan2 jan4,,,,,,,,,,,,,,,,,,Original/a_mangc.mp3,AI/a_mangc_AI.mp3,
129,a'mangc,adjective,ugly,laid,น่าเกลียด,ຂີ້ຮ້າຍ,xấu xí,丑,chǒu,cau2,,,,,,,,,,,,,,,,,,Original/a_mangc.mp3,AI/a_mangc_AI.mp3,
130,a'mangc,adjective,hideous,hideux,น่าเกลียด,ໜ້າກຽດ,ghê tởm,醜惡,chǒu è,cau2 ok3,,,,,,,,,,,,,,,,,,Original/a_mangc.mp3,AI/a_mangc_AI.mp3,
131,a'mangc,adjective,unsightly,disgracieux,ไม่น่ามอง,ບໍ່ງາມ,chướng mắt,難看,nán tīng,naan4 hon3,,,,,,,,,,,,,,,,,,Original/a_mangc.mp3,AI/a_mangc_AI.mp3,
133,a'muangx,noun,unpleasant to listen,désagréable à écouter,ฟังแล้วไม่สบายใจ,ຟັງແລ້ວບໍ່ສະບາຍໃຈ,khó nghe,難聽,nán tīng,naan4 ting1,,,,,,,,,,,,,,,,,,Original/a_muangx.mp3,AI/a_muangx_AI.mp3,
140,a'ndorm,noun,earlier past morning,tôt le matin,เมื่อช่วงเช้าที่ผ่านมา,ຕອນເຊົ້າກ່ອນໜ້ານີ້,sáng sớm nay,今天清晨,jīn tiān qīng chén,gam1 tin1 cing1 san4,,,,,,,,,,,,,,,,,,Original/a_ndorm.mp3,AI/a_ndorm_AI.mp3,
143,a'nziaauc,adverb,play,jouer,เล่น,ຫຼິ້ນ,mâm,大盘,dàpán,daai6 pun4,,,,,,,,,,,,,,,,,,Original/a_nziaauc.mp3,AI/a_nziaauc_AI.mp3,
144,a'nziaauc baengc,noun,venereal disease,maladie vénérienne,กามโรค,ພະຍາດກາມເພດ,bệnh phong tình,性病,xìng bìng,sing3 beng6,,,,,,,,,,,,,,,,,,Original/a_nziaauc_baengc.mp3,AI/a_nziaauc_baengc_AI.mp3,
145,a'nziaauc ciangv,noun,playground,aire de jeux,สนามเด็กเล่น,ສະໜາມເດັກຫຼິ້ນ,vui vẻ,嬉戏,xīxì,hei1 hei3,,,,,,,,,,,,,,,,,,Original/a_nziaauc_ciangv.mp3,AI/a_nziaauc_ciangv_AI.mp3,
146,a'nziaauc ciangv,noun,play field,terrain de jeu,สนามเด็กเล่น,ສະໜາມເດັກຫຼິ້ນ,chỗ chơi,游乐区,yóulèqū,jau4 lok6 keoi1,,,,,,,,,,,,,,,,,,Original/a_nziaauc_ciangv.mp3,AI/a_nziaauc_ciangv_AI.mp3,
147,a'nziaauc doic,noun,friend,ami,เพื่อน,ເພື່ອນ,bạn,朋友,péng you,pang4 jau5,,,,,,,I dauh a'nziaauc doic mingh gaeqv jiou.,Two friends went to pick mushrooms.,,,,,,,,,,Original/a_nziaauc_doic.mp3,AI/a_nziaauc_doic_AI.mp3,
148,a'nziaauc doic,noun,mate,copain,เพื่อน,ຄູ່,bạn đời,配偶,pèi’ǒu,pui3 ngau5,,,,,,,,,,,,,,,,,,Original/a_nziaauc_doic.mp3,AI/a_nziaauc_doic_AI.mp3,
149,a'nziaauc doic,noun,buddy,copain,เพื่อน,ເພື່ອນ,bạn,伙伴,huǒbàn,wo2 bun6,,,,,,,,,,,,,,,,,,Original/a_nziaauc_doic.mp3,AI/a_nziaauc_doic_AI.mp3,
150,a'nziaauc dorngx,noun,recreation area,zone de loisirs,พื้นที่พักผ่อนหย่อนใจ,ພື້ນທີ່ພັກຜ່ອນຢ່ອນໃຈ,khu vui chơi,休闲区,xiūxiánqū,jau1 han4 keoi1,,,,,,,,,,,,,,,,,,Original/a_nziaauc_dorngx.mp3,AI/a_nziaauc_dorngx_AI.mp3,
151,a'nziaauc dorngx,noun,play area,aire de jeux,พื้นที่เล่น,ພື້ນທີ່ຫຼິ້ນ,chơi,玩,wán,waan2,,,,,,,,,,,,,,,,,,Original/a_nziaauc_dorngx.mp3,AI/a_nziaauc_dorngx_AI.mp3,
152,a'nziaauc mbuox,noun,nickname,surnom,ชื่อเล่น,ຊື່ຫຼິ້ນ,biệt danh,绰号,chuòhào,coek3 hou6,,,,,,,,,,,,,,,,,,Original/a_nziaauc_mbuox.mp3,AI/a_nziaauc_mbuox_AI.mp3,
153,a'nziaauc waac,noun,tease,taquiner,หยอกล้อ,ຢອກລໍ້,trêu chọc,逗弄,dòunòng,dau6 nung6,,,,,,,,,,,,,,,,,,Original/a_nziaauc_waac.mp3,AI/a_nziaauc_waac_AI.mp3,
154,a'nziaauc waac,noun,joke,blague,เรื่องตลก,ເລື່ອງຕະຫລົກ,trò đùa,笑话,xiàohuà,siu3 waa6,,,,,,,Gorngv a'nziaauc hnangv.,Just joking.,,,,,,,,,,Original/a_nziaauc_waac.mp3,AI/a_nziaauc_waac_AI.mp3,
1,Aa,prefix,Aa (Mien),Aa (Mien),อา (เมียน),ອາ (ມຽນ),Aa (Mien),阿,Ā,aa3,"Used before kin terms, terms of address, names, or nicknames to indicate familiarity or affection","Utilisé avant les termes de parenté, les formules de politesse, les noms ou les surnoms pour indiquer la familiarité ou l'affection",ใช้ก่อนคำเรียกญาติ คำเรียกขาน ชื่อ หรือชื่อเล่น เพื่อแสดงความคุ้นเคยหรือความรักใคร่,"ໃຊ້ກ່ອນຄຳສັບກ່ຽວກັບຍາດພີ່ນ້ອງ, ທີ່ຢູ່, ຊື່ ຫຼື ຊື່ຫຼິ້ນ ເພື່ອສະແດງຄວາມຄຸ້ນເຄີຍ ຫຼື ຄວາມຮັກແພງ","Được sử dụng trước các từ ngữ chỉ quan hệ họ hàng, cách xưng hô, tên riêng hoặc biệt danh để thể hiện sự thân mật hoặc tình cảm.",用于亲属称谓、称呼、姓名或昵称之前，表示熟悉或亲昵。,,,,,,,,,,,,Original/aa.mp3,AI/aa_AI.mp3,
